#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      241.4    94.4    80.4   138.3   152.0   227.1   264.0   285.0   300.3   319.0   343.8   387.5   497.5   709.0  3026.6  29923.5    30000  1778895400499  1778895415653
read      245.5   103.8    80.4   139.3   153.7   230.5   267.6   288.9   304.7   323.4   349.2   395.2   509.4   812.0  3464.5  30076.5    30001  1778895417169  1778895432296
read      248.0   106.6    80.4   137.6   152.8   233.4   271.8   293.8   310.4   329.9   356.3   400.6   505.1   712.2  3551.1  30036.3    30002  1778895433808  1778895448909
read      239.9    99.0    80.4   135.0   148.8   224.9   262.7   284.8   301.1   320.3   346.3   391.9   494.7   681.9  3052.4  30015.9    30003  1778895450424  1778895465526
read      242.6   104.7    74.4   130.0   146.7   229.0   267.3   289.2   305.3   324.4   350.8   396.2   499.7   694.4  3765.4  30033.0    30004  1778895467039  1778895482140
read      241.3   103.6    74.4   134.2   149.1   227.1   264.1   285.5   301.3   320.0   345.9   391.9   494.6   766.9  3176.6  30022.1    30005  1778895483653  1778895498755
read      258.6   186.2    80.4   134.3   148.5   226.3   265.8   289.8   308.5   332.5   368.2   445.5   905.2  2838.9  5998.0  29956.5    30006  1778895500268  1778895515369
read      263.8   258.1    80.4   126.8   139.7   217.3   257.4   282.4   301.7   326.8   367.6   475.3  1152.3  3626.5  6333.0  30012.2    30007  1778895516884  1778895531986
read      255.9   232.6    80.4   126.5   140.0   214.3   252.0   275.5   294.8   319.5   362.4   461.3  1050.1  3321.8  6211.0  30038.0    30008  1778895533500  1778895548607
read      260.6   232.8    80.4   128.7   141.6   219.8   259.2   283.6   302.6   327.9   368.2   461.9  1060.4  3312.1  6229.6  30014.0    30009  1778895550122  1778895565224
read      254.1   216.5    80.4   128.1   141.0   214.7   252.0   275.0   294.0   319.1   358.7   448.2  1042.1  3139.6  5982.6  29997.9    30010  1778895566738  1778895581843
read      262.0   230.5    80.4   128.8   141.9   220.6   261.3   286.2   305.9   331.9   371.4   460.9  1065.9  3230.4  6136.6  30026.5    30011  1778895583356  1778895598458
read      272.0   248.5    80.4   131.7   146.6   227.5   268.1   292.9   313.4   341.2   387.3   494.3  1090.2  3321.7  6338.3  29995.5    30012  1778895599971  1778895615075
read      542.2   903.0    80.4   149.2   168.9   284.4   355.8   412.2   463.7   541.5   684.9  3073.3  4367.2  6395.3  8059.8  29881.7    30013  1778895616588  1778895631689
read      286.4   268.9    80.4   140.6   156.4   236.8   276.0   301.0   320.8   348.7   394.2   520.9  1183.6  3851.2  6318.9  30016.0    30014  1778895633202  1778895648307
read      293.9   287.1    86.8   142.6   158.2   240.2   281.0   306.7   327.8   358.3   407.7   549.6  1233.8  3994.3  6344.4  30025.0    30015  1778895649821  1778895664922
read      283.8   265.4    86.8   140.0   154.4   234.3   274.3   299.4   319.5   346.7   392.3   515.5  1201.9  3730.2  6280.4  29979.5    30016  1778895666436  1778895681539
read      296.0   295.7    80.4   142.7   158.8   241.3   281.7   307.5   328.6   358.1   406.5   556.6  1255.8  3991.5  6362.3  30010.5    30017  1778895683052  1778895698151
read      265.3   218.4    80.4   141.8   157.3   236.8   273.5   295.5   312.9   334.8   366.1   422.6   707.8  3709.8  6296.2  30034.1    30018  1778895699663  1778895714764
read      244.9   104.0    80.4   131.8   147.7   230.1   269.2   291.7   308.7   329.2   357.3   402.5   505.2   742.3  3038.4  30095.2    30019  1778895716277  1778895731378
read      246.5   100.1    80.4   140.0   154.5   232.0   268.2   289.6   305.8   325.5   353.4   400.1   500.9   690.7  3286.3  29969.0    30020  1778895732890  1778895747991
read      343.5   368.5    80.4   143.6   159.0   245.9   293.7   327.2   359.4   413.2   554.3   923.5  2372.7  3405.1  4938.2  30021.3    30021  1778895749503  1778895764605
read      327.9   381.2    74.4   144.0   160.2   244.0   288.3   316.7   341.6   379.4   460.0   813.6  2224.1  4501.4  8663.7  30016.8    30022  1778895766121  1778895781224
read      248.0   100.4    80.4   141.8   156.5   234.2   270.0   290.6   306.2   325.1   351.9   398.3   501.4   715.8  3297.2  29995.5    30023  1778895782738  1778895797847
read      246.8    96.2    80.4   142.2   156.8   233.5   268.9   289.4   304.6   322.5   348.4   394.5   495.4   668.6  3190.8  29957.1    30024  1778895799362  1778895814463
read      246.7   101.5    74.4   140.1   154.6   232.9   269.0   290.1   306.0   324.9   351.8   397.8   498.7   712.0  3287.7  30044.1    30025  1778895815976  1778895831080
read      243.6    99.6    80.4   133.0   149.2   229.6   266.9   288.7   305.0   324.3   351.4   397.7   501.3   733.9  3091.8  29978.8    30026  1778895832593  1778895847693
read      241.3   116.9    80.4   135.8   150.8   228.5   263.2   283.1   297.4   316.2   341.3   385.5   483.6   699.7  4216.9  30071.8    30027  1778895849207  1778895864308
read      244.1   100.5    80.4   136.1   151.6   231.6   267.3   287.9   303.3   321.2   346.7   391.6   492.3   687.8  3414.4  30012.5    30028  1778895865821  1778895880923
