#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      291.5   133.2    80.4   154.5   171.6   266.8   319.0   349.7   371.9   398.7   435.0   497.4   661.3  1262.3  3699.7  30015.3    30000  1778887920888  1778887936043
read      294.9   159.9    80.4   149.2   165.3   263.6   319.2   352.4   376.5   406.2   448.8   524.8   773.7  1775.8  4144.8  29985.6    30001  1778887937558  1778887952691
read      283.3   124.8    86.8   149.9   167.0   262.7   314.3   344.0   365.5   390.7   423.3   473.3   590.4   872.2  3998.9  29952.4    30002  1778887954208  1778887969313
read      284.2   122.3    86.8   151.9   168.5   262.8   314.2   343.6   365.3   390.9   424.3   477.3   604.1  1020.7  3437.0  30026.6    30003  1778887970829  1778887985933
read      285.1   144.7    86.8   150.3   167.0   262.6   313.9   343.4   365.3   391.2   425.9   481.8   623.1  1255.7  4232.9  30019.0    30004  1778887987449  1778888002561
read      283.2   120.6    86.8   150.3   168.0   262.7   313.4   342.6   363.9   388.7   421.1   471.9   605.2   995.0  3459.9  29890.8    30005  1778888004077  1778888019181
read      286.9   124.8    86.8   153.4   170.6   266.0   316.6   346.1   367.6   393.2   426.6   480.3   616.6   952.1  3679.6  29941.5    30006  1778888020699  1778888035801
read      292.6   138.0    86.8   150.4   168.6   269.8   322.6   353.9   375.9   402.4   438.2   499.3   654.0  1144.5  4279.1  29995.7    30007  1778888037315  1778888052421
read      282.2   128.0    86.8   153.0   169.9   260.6   308.3   336.3   357.0   381.4   414.4   469.2   625.2  1312.3  3885.6  29912.6    30008  1778888053938  1778888069042
read      294.4   156.3    86.8   152.5   170.4   270.1   320.8   351.1   373.4   400.6   437.4   502.2   689.4  1491.9  4375.4  29962.5    30009  1778888070557  1778888085659
read      293.8   139.7    86.8   153.6   172.0   270.9   322.1   352.6   374.1   400.6   435.5   495.6   659.0  1466.6  4174.6  29960.4    30010  1778888087175  1778888102278
read      282.4   162.1    86.8   145.1   161.1   250.4   300.5   330.7   353.2   381.3   421.0   498.9   822.9  1866.8  4316.0  29997.3    30011  1778888103794  1778888118896
read      285.0   144.1    80.4   148.7   164.6   259.7   310.4   340.0   362.0   388.2   423.7   486.7   699.7  1660.1  4116.7  30041.1    30012  1778888120411  1778888135515
read      271.1   117.0    80.4   150.1   165.0   252.6   299.3   326.2   345.3   368.4   397.7   443.9   553.6   931.2  3653.8  29940.7    30013  1778888137031  1778888152139
read      276.0   123.4    80.4   150.4   166.1   257.8   305.4   332.5   351.9   374.4   403.7   453.4   570.6   946.0  4395.2  30068.7    30014  1778888153659  1778888168763
read      277.7   150.3    86.8   147.7   163.7   257.1   306.1   334.0   354.4   378.0   409.5   460.8   587.3  1228.9  6058.2  30069.0    30015  1778888170279  1778888185388
read      275.4   133.6    86.8   148.4   163.6   253.6   301.9   330.1   350.5   374.7   407.0   460.5   603.7  1390.9  4066.3  30093.8    30016  1778888186903  1778888202004
read      312.6   341.9    86.8   146.3   160.3   249.1   303.0   335.5   360.2   391.6   438.2   567.0  1555.7  4605.4  7925.8  30010.5    30017  1778888203520  1778888218626
read      297.4   288.4    86.8   142.2   155.0   237.5   291.5   324.4   349.7   382.6   432.4   568.6  1384.5  3747.9  6411.9  30035.0    30018  1778888220141  1778888235247
read      293.1   285.9    86.8   141.5   154.8   236.6   289.4   321.1   345.6   375.5   420.9   536.9  1304.6  3763.3  6390.8  30065.9    30019  1778888236764  1778888251871
read      277.6   249.5    86.8   140.8   153.4   229.6   277.7   307.0   328.5   355.1   392.8   479.1  1124.8  3579.8  6274.7  30009.0    30020  1778888253388  1778888268491
read      292.2   271.8    86.8   142.0   156.1   242.2   293.9   324.5   347.1   374.9   415.6   504.1  1277.8  3681.7  6369.3  30008.9    30021  1778888270006  1778888285110
read      288.2   271.6    86.8   141.5   154.8   238.4   289.6   319.3   341.7   368.8   406.5   493.0  1282.5  3708.6  6363.1  30014.1    30022  1778888286626  1778888301734
read      306.3   311.0    86.8   143.3   157.7   248.1   300.9   332.3   356.1   386.3   431.3   551.7  1494.0  4052.7  6409.2  30052.1    30023  1778888303249  1778888318362
read      323.1   302.9    86.8   152.2   168.0   267.1   320.2   353.1   377.6   409.9   459.5   588.0  1397.9  3920.8  6387.0  29999.5    30024  1778888319877  1778888334978
read      307.2   289.9    86.8   150.3   164.9   256.5   307.1   337.9   361.4   390.7   432.4   528.0  1276.2  3867.6  6417.8  30032.7    30025  1778888336491  1778888351598
read      311.6   291.8    86.8   150.5   165.5   259.3   310.4   341.3   365.3   395.3   439.1   545.4  1344.4  3725.3  6449.6  29991.9    30026  1778888353112  1778888368215
read      304.2   298.7    86.8   149.9   163.7   250.2   298.3   328.3   351.0   379.8   423.2   532.9  1310.6  3909.0  6440.0  30067.7    30027  1778888369730  1778888384835
read      315.3   309.1    86.8   150.8   165.9   258.8   309.4   340.4   364.6   395.1   439.8   555.2  1411.6  3880.6  6392.4  30078.2    30028  1778888386352  1778888401457
read      283.4   129.2    86.8   150.8   166.8   265.3   313.1   340.6   361.1   385.4   417.6   468.8   596.3  1028.7  4373.6  30060.5    30029  1778888402976  1778888418082
read      279.9   128.3    80.4   147.8   165.5   261.6   307.8   335.1   355.6   379.8   412.1   465.7   595.0  1064.5  4194.3  30069.7    30030  1778888419598  1778888434703
read      282.2   123.6    86.8   148.4   165.4   263.1   310.4   338.1   358.8   383.3   416.4   470.8   616.5  1234.3  3345.9  30107.0    30031  1778888436217  1778888451318
read      282.4   123.8    86.8   148.7   165.3   264.3   312.0   339.6   360.3   385.0   417.8   469.9   601.1  1000.7  4107.8  30073.6    30032  1778888452832  1778888467942
read      294.1   186.8    86.8   152.3   169.1   265.3   314.4   343.8   366.9   395.2   433.9   506.5   756.3  1909.0  7347.9  30041.3    30033  1778888469461  1778888484609
read      288.2   191.7    86.8   152.8   168.7   261.5   308.4   336.0   356.8   382.1   417.1   479.6   709.5  2772.1  6860.2  30033.8    30034  1778888486129  1778888501392
read      272.8   159.7    86.8   150.8   166.4   253.9   295.6   319.5   338.2   360.6   390.4   438.2   587.7  1630.3  5984.5  29986.5    30035  1778888502910  1778888518144
read      279.7   127.7    86.8   148.8   165.6   260.8   306.2   333.1   353.2   377.1   409.7   464.4   607.5  1234.9  3915.3  30049.1    30036  1778888519660  1778888534764
read      313.0   214.5    80.4   149.5   166.9   268.6   321.8   356.4   383.5   419.7   475.8   603.6  1073.5  2505.8  4749.5  29997.9    30037  1778888536282  1778888551386
read      273.5   107.3    86.8   149.4   165.7   258.6   302.3   327.2   345.4   368.3   397.6   445.4   554.8   790.1  3279.5  30046.0    30038  1778888552903  1778888568008
read      272.4   117.2    86.8   153.5   169.4   257.3   298.0   321.6   340.1   362.2   390.7   435.2   543.2   825.7  4361.5  29994.1    30039  1778888569523  1778888584624
read      276.8   109.3    86.8   154.0   170.0   261.8   304.8   329.6   347.6   370.5   399.7   447.7   554.7   789.5  3337.1  30069.2    30040  1778888586139  1778888601243
read      272.7   115.4    86.8   151.1   167.3   257.1   299.8   324.4   342.7   365.0   393.9   438.6   550.0   891.4  3910.7  30044.9    30041  1778888602758  1778888617861
read      258.3   112.0    80.4   146.2   161.7   244.0   283.7   306.4   322.5   342.9   369.6   412.0   508.6   771.9  4069.5  30041.3    30042  1778888619376  1778888634483
read      266.7   109.2    86.8   146.8   162.1   252.0   294.8   318.9   337.4   359.5   388.2   433.1   542.5   771.5  3342.0  30017.4    30043  1778888636001  1778888651107
read      263.7   110.7    86.8   147.9   163.0   247.8   288.8   312.4   329.9   350.9   379.2   426.0   545.7  1051.1  3404.7  29994.3    30044  1778888652621  1778888667720
read      266.8   115.1    86.8   148.5   163.0   249.4   292.1   316.6   335.3   357.6   387.1   434.7   567.1  1053.0  3308.1  30042.9    30045  1778888669234  1778888684336
read      263.5   113.3    86.8   148.3   163.0   247.7   289.3   313.2   330.9   351.9   379.8   425.1   536.8   953.7  3857.6  30063.9    30046  1778888685853  1778888700966
read      271.5   110.8    80.4   146.2   162.5   255.8   300.0   325.6   344.4   367.6   397.6   445.6   558.2   830.4  3315.4  30046.3    30047  1778888702481  1778888717591
read      269.9   114.8    80.4   150.7   167.0   253.7   294.6   318.6   337.2   359.8   389.7   436.2   550.8   913.4  3933.1  30088.0    30048  1778888719106  1778888734213
read      262.5   107.3    86.8   146.7   162.9   248.4   289.0   312.2   329.3   349.6   376.3   420.7   520.7   787.1  3322.6  30070.3    30049  1778888735730  1778888750842
read      275.9   115.7    80.4   150.2   166.9   259.3   303.2   328.7   347.4   370.9   401.1   452.4   577.4   940.5  3477.2  30033.2    30050  1778888752357  1778888767462
read      274.5   128.2    80.4   144.8   161.4   256.5   302.2   328.7   348.1   372.3   403.6   457.5   587.4  1186.8  4332.7  30122.3    30051  1778888768978  1778888784089
read      266.3   114.6    80.4   144.7   160.8   250.3   294.0   318.7   337.6   360.0   389.1   434.0   545.5   929.1  4092.8  30015.8    30052  1778888785604  1778888800708
read      263.2   106.9    80.4   144.2   160.0   247.8   291.2   315.6   334.0   356.0   384.7   429.6   534.9   756.5  3196.2  30034.4    30053  1778888802221  1778888817323
read      300.1   279.7    86.8   145.8   160.6   251.2   300.3   330.1   352.9   381.8   424.3   522.7  1265.5  3820.3  6351.6  30087.8    30054  1778888818837  1778888833936
read      298.4   284.7    86.8   141.6   154.9   237.0   286.7   318.5   344.5   380.0   438.8   613.3  1355.7  3716.0  6376.3  30142.2    30055  1778888835450  1778888850556
read      318.0   331.9    86.8   142.8   157.2   247.0   300.1   335.3   363.9   402.4   469.5   663.5  1636.7  4043.0  6443.1  30044.3    30056  1778888852073  1778888867182
read      285.1   273.8    86.8   140.6   153.3   234.5   282.5   311.5   333.7   361.5   401.2   501.4  1291.2  3694.0  6400.9  30069.3    30057  1778888868699  1778888883807
read      309.3   311.5    86.8   145.7   160.7   252.6   304.2   336.0   360.8   392.6   439.4   554.8  1466.0  4064.5  6434.3  30149.7    30058  1778888885321  1778888900426
read      289.4   269.4    86.8   142.4   156.7   240.2   287.8   316.6   338.6   366.6   405.3   502.1  1271.9  3621.5  6377.9  30147.3    30059  1778888901941  1778888917047
read      303.4   346.8    86.8   141.5   154.8   239.8   287.6   316.1   338.3   366.6   408.7   537.6  1775.7  4546.5  6412.0  30143.7    30060  1778888918562  1778888933668
