1778082323468 Linux 6.8.0-1021-gcp (memcache-server-9cj8) 05/06/26 _x86_64_ (4 CPU)
1778082324469
1778082324470 15:45:23 CPU %usr %nice %sys %iowait %irq %soft %steal %guest %gnice %idle
1778082324471 15:45:24 all 0.25 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.49
1778082325469 15:45:25 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082326469 15:45:26 all 0.25 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082327469 15:45:27 all 0.00 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082328469 15:45:28 all 0.75 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 98.76
1778082329469 15:45:29 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082330469 15:45:30 all 0.75 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082331469 15:45:31 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082332469 15:45:32 all 0.26 0.00 0.26 0.00 0.00 0.26 0.00 0.00 0.00 99.23
1778082333469 15:45:33 all 0.52 0.00 0.26 0.00 0.00 0.26 0.00 0.00 0.00 98.95
1778082334469 15:45:34 all 0.00 0.00 0.26 0.00 0.00 0.00 0.00 0.00 0.00 99.74
1778082335469 15:45:35 all 0.50 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.25
1778082336470 15:45:36 all 0.00 0.00 1.09 0.00 0.00 0.27 0.00 0.00 0.00 98.64
1778082337470 15:45:37 all 0.00 0.00 0.83 0.00 0.00 0.28 0.00 0.00 0.00 98.89
1778082338470 15:45:38 all 0.76 0.00 0.25 0.00 0.00 0.25 0.00 0.00 0.00 98.73
1778082339470 15:45:39 all 0.26 0.00 1.02 0.26 0.00 0.26 0.00 0.00 0.00 98.21
1778082340470 15:45:40 all 0.29 0.00 2.59 0.00 0.00 1.15 0.00 0.00 0.00 95.98
1778082341470 15:45:41 all 0.56 0.00 2.25 0.00 0.00 0.56 0.00 0.00 0.00 96.63
1778082342470 15:45:42 all 0.25 0.00 0.75 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082343470 15:45:43 all 1.06 0.00 2.65 0.00 0.00 0.53 0.00 0.00 0.00 95.76
1778082344470 15:45:44 all 0.85 0.00 6.21 0.00 0.00 3.95 0.00 0.00 0.00 88.98
1778082345470 15:45:45 all 1.07 0.00 4.27 0.00 0.00 1.87 0.00 0.00 0.00 92.80
1778082346470 15:45:46 all 0.25 0.00 0.50 0.00 0.00 0.00 0.00 0.00 0.00 99.25
1778082347471 15:45:47 all 1.07 0.00 7.75 0.00 0.00 4.28 0.00 0.00 0.00 86.90
1778082348471 15:45:48 all 1.65 0.00 11.29 0.00 0.00 5.79 0.00 0.00 0.00 81.27
1778082349470 15:45:49 all 0.77 0.00 3.59 0.00 0.00 2.05 0.00 0.00 0.00 93.59
1778082350471 15:45:50 all 0.51 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.24
1778082351471 15:45:51 all 1.87 0.00 16.84 0.00 0.00 7.49 0.00 0.00 0.00 73.80
1778082352470 15:45:52 all 2.96 0.00 16.67 0.00 0.00 6.99 0.00 0.00 0.00 73.39
1778082353470 15:45:53 all 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 99.00
1778082354472 15:45:54 all 0.77 0.00 5.66 0.26 0.00 2.31 0.00 0.00 0.00 91.00
1778082355471 15:45:55 all 2.98 0.00 19.51 0.00 0.00 7.32 0.00 0.00 0.00 70.19
1778082356471 15:45:56 all 1.86 0.00 13.56 0.00 0.00 5.32 0.00 0.00 0.00 79.26
1778082357471 15:45:57 all 0.00 0.00 0.75 0.00 0.00 0.00 0.00 0.00 0.00 99.25
1778082358472 15:45:58 all 2.12 0.00 11.64 0.00 0.00 6.08 0.00 0.00 0.00 80.16
1778082359472 15:45:59 all 2.72 0.00 22.62 0.00 0.00 9.81 0.00 0.00 0.00 64.85
1778082360471 15:46:00 all 1.04 0.00 8.57 0.00 0.00 4.68 0.00 0.00 0.00 85.71
1778082361471 15:46:01 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082362472 15:46:02 all 3.01 0.00 17.81 0.00 0.00 9.59 0.00 0.00 0.00 69.59
1778082363472 15:46:03 all 2.48 0.00 20.94 0.00 0.00 10.74 0.00 0.00 0.00 65.84
1778082364471 15:46:04 all 0.25 0.00 2.28 0.00 0.00 1.52 0.00 0.00 0.00 95.95
1778082365472 15:46:05 all 0.77 0.00 3.85 0.00 0.00 1.54 0.00 0.00 0.00 93.85
1778082366472 15:46:06 all 3.05 0.00 21.88 0.00 0.00 12.74 0.00 0.00 0.00 62.33
1778082367471 15:46:07 all 1.65 0.00 18.41 0.00 0.00 10.44 0.00 0.00 0.00 69.51
1778082368471 15:46:08 all 0.25 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082369472 15:46:09 all 2.33 0.00 9.84 0.00 0.00 5.44 0.00 0.00 0.00 82.38
1778082370472 15:46:10 all 2.43 0.00 20.00 0.00 0.00 12.43 0.00 0.00 0.00 65.14
1778082371471 15:46:11 all 1.30 0.00 10.68 0.00 0.00 5.99 0.00 0.00 0.00 82.03
1778082372472 15:46:12 all 0.50 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.25
1778082373472 15:46:13 all 1.88 0.00 15.55 0.00 0.00 8.85 0.00 0.00 0.00 73.73
1778082374473 15:46:14 all 3.25 0.00 20.60 0.00 0.00 10.84 0.00 0.00 0.00 65.31
1778082375472 15:46:15 all 0.51 0.00 5.37 0.00 0.00 2.56 0.00 0.00 0.00 91.56
1778082376473 15:46:16 all 0.51 0.00 1.77 0.00 0.00 0.51 0.00 0.00 0.00 97.22
1778082377472 15:46:17 all 2.70 0.00 19.46 0.00 0.00 11.89 0.00 0.00 0.00 65.95
1778082378472 15:46:18 all 2.66 0.00 19.15 0.00 0.00 11.17 0.00 0.00 0.00 67.02
1778082379472 15:46:19 all 0.50 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.24
1778082380472 15:46:20 all 0.25 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.50
1778082381472 15:46:21 all 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 99.75
1778082382472 15:46:22 all 0.75 0.00 0.25 0.00 0.00 0.00 0.00 0.00 0.00 98.99
367912 15:46:07 all 0.79 0.00 8.14 0.00 0.00 4.46 0.00 0.00 0.00 86.61
1778082368912 15:46:08 all 0.75 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 98.25
1778082369913 15:46:09 all 2.67 0.00 17.91 0.00 0.00 12.03 0.00 0.00 0.00 67.38
1778082370913 15:46:10 all 2.17 0.00 20.65 0.00 0.00 11.41 0.00 0.00 0.00 65.76
1778082371912 15:46:11 all 0.76 0.00 2.02 0.00 0.00 0.76 0.00 0.00 0.00 96.47
